Date,Open,High,Low,Close,Adj Close,Volume
2007-08-13,50.660000,50.959999,43.720001,49.480000,49.480000,1556000
2007-08-20,49.599998,50.549999,47.049999,50.130001,50.130001,882600
2007-08-27,50.150002,50.790001,47.820000,49.910000,49.910000,955100
2007-09-03,49.799999,50.250000,47.650002,47.980000,47.980000,690600
2007-09-10,47.950001,48.250000,46.480000,47.570000,47.570000,771300
2007-09-17,47.570000,55.000000,46.000000,52.950001,52.950001,1429700
2007-09-24,53.139999,55.000000,51.990002,53.389999,53.389999,1034600
2007-10-01,53.480000,57.139999,53.470001,55.700001,55.700001,825500
2007-10-08,55.790001,56.590000,52.549999,53.889999,53.889999,773600
2007-10-15,54.150002,54.840000,48.880001,48.930000,48.930000,1087500
2007-10-22,48.049999,53.529999,47.680000,51.430000,51.430000,1908700
2007-10-29,50.700001,52.980000,48.880001,51.160000,51.160000,1196400
2007-11-05,50.150002,53.110001,50.150002,52.470001,52.470001,1297000
2007-11-12,52.310001,55.110001,52.310001,54.990002,54.990002,1288900
2007-11-19,54.509998,55.009998,52.549999,54.360001,54.360001,988600
2007-11-26,54.349998,55.709999,52.540001,54.220001,54.220001,1024200
2007-12-03,53.669998,55.520000,52.860001,54.950001,54.950001,1254300
2007-12-10,54.950001,57.000000,53.220001,53.250000,53.250000,1145600
2007-12-17,53.000000,55.810001,51.689999,55.480000,55.480000,1166400
2007-12-24,55.250000,57.209999,53.509998,53.509998,53.509998,453800
2007-12-31,53.080002,54.430000,50.770000,51.009998,51.009998,712700
2008-01-07,51.360001,54.650002,51.000000,53.639999,53.639999,2250000
2008-01-14,53.959999,54.639999,51.389999,52.029999,52.029999,1466100
2008-01-21,50.049999,53.430000,48.619999,50.520000,50.520000,1961400
2008-01-28,50.310001,53.070000,49.709999,52.500000,52.500000,1279100
2008-02-04,51.700001,52.000000,47.509998,47.880001,47.880001,1648600
2008-02-11,47.799999,49.000000,46.000000,46.310001,46.310001,1236000
2008-02-18,46.830002,49.389999,46.070000,47.209999,47.209999,807500
2008-02-25,47.320000,48.369999,44.230000,44.400002,44.400002,1347600
2008-03-03,44.340000,45.669998,43.810001,44.150002,44.150002,2053500
2008-03-10,44.320000,46.040001,43.790001,44.369999,44.369999,1847600
2008-03-17,43.400002,47.130001,42.889999,45.570000,45.570000,1458200
2008-03-24,45.840000,47.259998,45.119999,46.889999,46.889999,1113400
2008-03-31,46.889999,49.070000,46.849998,48.259998,48.259998,1384800
2008-04-07,48.509998,48.910000,47.150002,47.700001,47.700001,1718900
2008-04-14,47.599998,49.730000,46.709999,49.730000,49.730000,952800
2008-04-21,49.389999,59.000000,47.070000,58.389999,58.389999,2639400
2008-04-28,58.630001,59.980000,57.060001,58.919998,58.919998,2159700
2008-05-05,58.880001,59.320000,56.689999,57.759998,57.759998,1437700
